Transaction ID	Date	Product SKU	Product_Name	Category	Sub_Category	Brand	MSRP	Store ID	Store_Name	Store_City	Store_Region	Customer_ID	Customer Name	Unit_Price	Quantity_Sold	Discount_Amount	Tax_Amount	Total_Sales_Amount	Payment_Method
T-30001	2025-06-15	SKU-508	Bose Pro	Laptops	Pro	Bose	565.29	ST-101	Downtown Tech	Boston	North	C-1001	Mary Johnson	512.35	1	51.24	35.86	496.97	PayPal
T-30002	2025-06-15	SKU-517	Sony Headphones	Audio	Headphones	Sony	477.79	ST-102	Lakeside Electronics	Chicago	Midwest	C-1002	Patricia Davis	507.36	1	50.74	35.52	492.14	Apple Pay
T-30003	2025-06-15	SKU-506	Dell iPhone	Mobile	iPhone	Dell	1918.7	ST-102	Lakeside Electronics	Chicago	Midwest	C-1003	Mary Johnson	1763.94	3	529.18	370.43	5133.07	Debit Card
T-30004	2025-06-15	SKU-517	Apple Buds	Audio	Buds	Apple	337.17	ST-102	Lakeside Electronics	Chicago	Midwest	C-1004	Mary Jones	342.39	1	34.24	23.97	332.12	PayPal
T-30005	2025-06-15	SKU-503	Dell Pro	Laptops	Pro	Dell	822.24	ST-102	Lakeside Electronics	Chicago	Midwest	C-1005	Jennifer Williams	798.44	3	239.53	167.67	2323.46	Credit Card
T-30006	2025-06-15	SKU-517	Sony Headphones	Audio	Headphones	Sony	1485.34	ST-101	Downtown Tech	Boston	North	C-1006	Linda Miller	1630.76	5	815.38	570.77	7909.19	Debit Card
T-30007	2025-06-15	SKU-510	Apple Pro	Laptops	Pro	Apple	862.21	ST-101	Downtown Tech	Boston	North	C-1007	Patricia Garcia	889.01	4	355.6	248.92	3449.36	Apple Pay
T-30008	2025-06-15	SKU-507	Samsung iPhone	Mobile	iPhone	Samsung	1515.48	ST-102	Lakeside Electronics	Chicago	Midwest	C-1008	Elizabeth Miller	1473.65	2	294.73	206.31	2858.88	Apple Pay
T-30009	2025-06-15	SKU-504	Apple Pro	Laptops	Pro	Apple	1292.15	ST-102	Lakeside Electronics	Chicago	Midwest	C-1009	Elizabeth Johnson	1261.56	4	504.62	353.24	4894.86	Debit Card
T-30010	2025-06-15	SKU-503	Sony XPS	Laptops	XPS	Sony	1395.25	ST-102	Lakeside Electronics	Chicago	Midwest	C-1010	Jennifer Johnson	1377.05	4	550.82	385.57	5342.95	Debit Card
T-30011	2025-06-15	SKU-503	Sony XPS	Laptops	XPS	Sony	1753.99	ST-102	Lakeside Electronics	Chicago	Midwest	C-1011	David Brown	1709.76	2	341.95	239.37	3316.94	Credit Card
T-30012	2025-06-15	SKU-500	Sony Galaxy	Mobile	Galaxy	Sony	312.55	ST-102	Lakeside Electronics	Chicago	Midwest	C-1012	John Brown	296.35	5	148.18	103.72	1437.29	Credit Card
